chemist	nhà hóa học
coastguard	lực lượng bảo vệ bờ biển
underestimate	đánh giá thấp
continuous	liên tục
competence	năng lực
casualty	thương vong
knot	nút thắt
presentation	bài thuyết trình
hard-wearing	bền bỉ
scruffy	luộm thuộm
reject	từ chối
high-heeled	giày cao gót
landfill	bãi chôn lấp
invertebrate	động vật không xương sống
microscopic	kính hiển vi
disc	đĩa
suction	lực hút
grip	va li
squashed	bị nghiền nát
scientific	có tính khoa học
asteroid	tiểu hành tinh
cryptobiosis	trạng thái ngủ đông
curl	uốn cong
retract	thu hồi
metabolism	chuyển hóa
revive	hồi sinh
chew	nhai
estimate	ước lượng
evaluate	đánh giá
organ	cơ quan
pavement	vỉa hè
shellfish	động vật có vỏ
prawn	tôm
seaweed	rong biển
home-made	tự làm
action-packed	hành động đầy kịch tính
illustrator	họa sĩ minh họa
magical	phép thuật
aspiring	khát vọng
heart-warming	ấm lòng
distraction	sự xao nhãng
engagement	hôn ước
confidentiality	bảo mật
permission	sự cho phép
follow-up	theo dõi
cage	lồng
cereal	ngũ cốc
electronic	điện tử
complicated	phức tap
microplastic	vi nhựa
freshwater	nước ngọt
tyre	lốp xe
impair	làm suy yếu
digestive	tiêu hóa
microbead	hạt vi mô
gardener	người làm vườn
tract	đường dẫn
ingestion	nuốt
high-density	mật độ cao
supervisor	người giám sát
staffroom	phòng giáo viên
locker	tủ khóa
human resources department	bộ phận nhân sự
section	phần
sell-by	bán trước
dishwasher	máy rửa chén
cold-room	phòng lạnh
frostbite	tê cóng
competitive	cạnh tranh
taster	người nếm thử
sporty	thể thao
reassure	trấn an
work placement	thực tập
spine	xương sống
come away from	rời khỏi
obvious	rõ ràng
shame	nỗi tủi nhục
better-quality	chất lượng tốt hơn
paperback	bìa mềm
attic	gác mái
edition	phiên bản
dedicated	tận tụy
pushchair	xe đẩy
institution	tổ chức
coursebook	sách giáo trình
invasive	xâm lấn
professional	chuyên nghiệp
tournament	giải đấu
racket	vợt
tweak	điều chỉnh
stringer	dây
maximisation	tối đa hóa
specification	thông số kỹ thuật
generate	phát ra
topspin	xoáy trên
intestine	ruột
customisation	tùy chỉnh
daredevil	người liều lĩnh
misfit	kẻ lạc loài
swashbuckler	người phiêu lưu mạo hiểm
prowl	rình rập
reasonable	hợp lý
predominant	chiếm ưu thế
rugged	chắc chắn
hilly	đồi núi
mountainous	núi
laden	chất đầy
surrender	đầu hàng
retaliation	trả thù
opponent	đối thủ
correspondence	thư từ
condone	tha
glorify	tôn vinh
ambassador	đại sứ
detour	đường vòng
hamper	giỏ quà
slave	nô lệ
essential	thiết yếu
punishment	hình phạt
embolden	khuyến khích
kidnap	bắt cóc
hostage	con tin
aware	nhận thức
commander	chỉ huy
denial	sự phủ nhận
verify	xác minh
battle	trận đánh
falsehood	sự dối trá
deceive	lừa dối
apparent	rõ ràng
inadvertent	vô tình
misinformation	thông tin sai lệch
undue	không chính đáng
attitude	thái độ
resource-intensive	tốn nhiều tài nguyên
garner	thu thập
philosophical	triết học
default	mặc định
momentary	thoáng qua
encode	mã hóa
reside	cư trú
preemptive	ưu tiên
monitor	màn hình
direct-to-consumer	bán trực tiếp cho người tiêu dùng
prescription	đơn thuốc
violation	vi phạm
laudable	đáng khen ngợi
sensitize	nhạy cảm
passionate	say đắm
arduous	gian truân
prominence	sự nổi bật
consensus	sự đồng thuận
fallibility	khả năng sai lầm
panacea	thuốc chữa bách bệnh
gear	bánh răng
rotary	quay
dyer	thợ nhuộm
telegraphy	điện báo
livelihood	sinh kế
unskilled	không có kỹ năng
desperate	tuyệt vọng
rumour	tin đồn
machinery	máy móc
uprising	cuộc nổi dậy
punishable	có thể bị trừng phạt
intense	mãnh liệt
withdrawal	rút tiền
accumulation	sự tích lũy
tackle	giải quyết
perspiration	mồ hôi
palpitation	hồi hộp
tremor	sự rung chuyển
self-control	tự chủ
manifest	biểu hiện
visualisation	trực quan hóa
sportsperson	vận động viên
resolute	quyết tâm
unexceptional	không có gì đặc biệt
foil	giấy bạc
relativity	thuyết tương đối
giftedness	năng khiếu
replicable	có thể sao chép
distinguished	nổi bật
determination	sự quyết tâm
rejection	từ chối
surpass	vượt qua
guidance	hướng dẫn
province	tỉnh
artefact	hiện vật
encompass	bao gồm
heavy-duty	chịu tải nặng
unearth	khai quật
hydrologist	nhà thủy văn học
clearance	sự giải phóng
ditch	mương
subside	lắng xuống
cautiously	thận trọng
subsidence	sự sụt lún
enthusiast	người đam mê
realisable	có thể thực hiện được
commonplace	phổ biến
prototype	nguyên mẫu
domestic	nội địa
entail	bao gồm
voice-controlled	điều khiển bằng giọng nói
simultaneous	đồng thời
oblige	bắt buộc
apprehension	lo lắng
etiquette-sensitive	nhạy cảm với phép lịch sự
readiness	sự sẵn sàng
outsource	thuê ngoài
seamless	liền mạch
conduct	chỉ đạo
noteworthy	đáng chú ý
assist	hỗ trợ
abundance	sự dồi dào
unwillingly	không muốn
emergence	sự xuất hiện
phenology	hiện tượng học
sought-after	được săn đón
superbug	siêu vi khuẩn
antibiotic-resistant	kháng kháng sinh
responsible	chịu trách nhiệm
undocumented	không được ghi chép
prospecting	tìm kiếm
bioactive	hoạt tính sinh học
pros and cons	ưu điểm và nhược điểm
oceanographer	nhà hải dương học
abyss	vực sâu
diversify	đa dạng hóa
ramification	sự phân nhánh
marginalisation	sự gạt bỏ
little-known	ít được biết đến
assault	tấn công
inflict	gây ra
off-limits	cấm
biotechnology	công nghệ sinh học
ruthless	tàn nhẫn
ulterior	sau
transcend	vượt qua
brutality	sự tàn bạo
bleak	ảm đạm
ethos	đạo đức
individualistic	cá nhân
reference	thẩm quyền giải quyết
brutal	tàn bạo
aggression	sự hung hăng
ruthlessness	sự tàn nhẫn
racism	phân biệt chủng tộc
egalitarianism	chủ nghĩa bình đẳng
disparity	sự chênh lệch
domineering	độc đoán
ostracise	tẩy chay
offender	tội phạm
custody	giam giữ
altruism	lòng vị tha
hierarchical	phân cấp
separateness	sự tách biệt
greedy	tham
occasion	dịp
sound	âm thanh
atmosphere	bầu không khí
spectacular	hùng vĩ
reputation	danh tiếng
close down	đóng cửa
selection	lựa chọn
pay attention	hãy chú ý
incredible	đáng kinh ngạc
judge	phán xét
top-class	hàng đầu
portion	phần
be keen on	quan tâm đến
ingredient	nguyên liệu
potter	thợ gốm
pottery	đồ gốm
stand the test of time	vượt qua thử thách của thời gian
storage	kho
impression	ấn tượng
wrist	cổ tay
arthritis	viêm khớp
messy	lộn xộn
kiln	lò nung
oven	lò vi sóng
permanently	vĩnh viễn
release	giải phóng
toxic	độc hại
curve	đường cong
apron	tạp dề
lifespan	tuổi thọ
loneliness	cô đơn
high-rise	tòa nhà cao tầng
extended	mở rộng
obesity	béo phì
risk	rủi ro
evidence	chứng cớ
judgment	phán quyết
definition	sự định nghĩa
weakened	suy yếu
immune	miễn dịch
unquestionably	chắc chắn
cooperation	sự hợp tác
depression	trầm cảm
embarrassed	lúng túng
admit	thừa nhận
optimistic	lạc quan
interaction	sự tương tác
solitude	sự cô đơn
wellbeing	sức khỏe
overstate	phóng đại
frustration	sự thất vọng
sewage	nước thải
disorientation	mất phương hướng
recreation	giải trí
relieved	nhẹ nhõm
cheerful	vui vẻ
mealtime	giờ ăn
cope	đối phó
eligible	đạt chuẩn
petrol	xăng
insurance	bảo hiểm
timetable	thời khóa biểu
onward	tiếp tục
forthcoming	sắp tới
assignment	phân công
migration	di cư
statistic	thống kê
epidemic	bệnh dịch
syllabus	giáo trình
poverty	nghèo
urbanization	đô thị hóa
outskirt	ngoại ô
conference	hội nghị
pedestrianize	biến thành phố đi bộ
conform	theo
unrealistic	không thực tế
retail centre	trung tâm bán lẻ
readily	dễ dàng
dedicate	cống hiến
campaign	chiến dịch
staple	chủ yếu
superfood	siêu thực phẩm
provocation	sự khiêu khích
aggravate	làm trầm trọng thêm
delicacy	tinh vi
fishery	nghề cá
desertification	sa mạc hóa
playbill	chương trình biểu diễn
convener	người triệu tập
audience	khán giả
accuse	buộc tội
refund	đền bù
riot	cuộc náo loạn
outrageous	quá đáng
upcoming	sắp tới
comparison	so sánh
theatre-goer	người đi xem kịch
digitise	số hóa
hygienic	vệ sinh
dexterity	sự khéo léo
distinguish	phân biệt
interface	giao diện
non-inclusive	không bao gồm
inexplicably	không thể giải thích được
crash-tested	đã được kiểm tra va chạm
dummy	giả
goggle	kính bảo hộ
amour	tình yêu
metabolic	chuyển hóa
adjustable	có thể điều chỉnh
temporary	tạm thời
rental	cho thuê
brochure	cuốn sách nhỏ
charity	tổ chức từ thiện
up and down	lên xuống
detector	máy dò
rainstorm	cơn mưa bão
brooch	trâm
oyster	hàu
right	Phải
spend a fortune	tiêu một khoản tiền lớn
wander off	đi lang thang
frightened	sợ sệt
penalty	phạt
self-guided	tự hướng dẫn
referee	trọng tài
offense	tội phạm
spatial	không gian
dyspraxia	rối loạn vận động
coordinate	điều phối
legibility	khả năng đọc
cursive	chữ viết tay
stylish	phong cách
note-taking	ghi chú
punctuation	dấu câu
spelling	chính tả
sanctuary	nơi tôn nghiêm
conflict	xung đột
fatal	gây tử vong
revenue	doanh thu
accidental	vô tình
fatality	tử vong
fast-moving	di chuyển nhanh
electrocute	điện giật
poison	chất độc
counterproductive	phản tác dụng
flightless	không biết bay
forest-dwelling	sống trong rừng
forward-facing	hướng về phía trước
occupy	chiếm đóng
descent	xuống
fern	dương xỉ
frond	lá cây
incubation	ủ
incubate	ủ
unattended	không có người trông coi
cloak	áo choàng
coloniser	kẻ xâm lược
initiative	sáng kiến
advisory	tư vấn
supplementary	bổ sung
hand-raise	giơ tay
stakeholder	cổ đông
preservation	sự bảo tồn
aftermath	hậu quả
vascular	mạch máu
wilt	héo rũ
shipment	vận chuyển
destine	số phận
virulent	độc hại
hedgerow	hàng rào
component	thành phần
keel	sống tàu
ingrained	ăn sâu
determine	quyết tâm
coastal	ven biển
precarious	bấp bênh
doorstep	cửa nhà
tolerant	khoan dung
seedling	cây con
analogue	tương tự
clone	dòng vô tính
description	Sự miêu tả
weigh up	cân nhắc
investigate	khảo sát
operate	vận hành
hectic	bận rộn
ups and downs	thăng trầm
embrace	ôm
hyper-vigilant	cảnh giác cao độ
panel	bảng
cortisol	cortisol
spike	gai
alarming	đáng báo động
physiological	sinh lý
clinical	lâm sàng
alert	báo động
famished	đói khát
justified	hợp lý
exaggerating	phóng đại
conscientious	tận tâm
objective	khách quan
feed	cho ăn
flipper	vây cá
forelimb	chi trước
pectoral	ngực
pelvic	vùng chậu
leftover	còn lại
omnivorous	ăn tạp
herbivore	động vật ăn cỏ
molar	răng hàm
abrasive	chất mài mòn
incisor	răng cưa
diaphragm	màng ngăn
buoyancy	lực nổi
contraction	co thắt
compress	nén
ambient	môi trường xung quanh
restrict	hạn chế
artificially	nhân tạo
entanglement	sự vướng mắc
procrastination	sự trì hoãn
urgent	cấp bách
self-worth	giá trị bản thân
chronically	mãn tính
self-esteem	lòng tự trọng
perfectionist	người cầu toàn
guilt	tội lỗi
toll	phí cầu đường
productivity	năng suất
misconduct	hành vi sai trái
cheating	gian lận
plagiarism	đạo văn
fraudulent	gian lận
excuse	thứ lỗi
extension	sự mở rộng
demographic	nhân khẩu học
vicious	tàn bạo
evidence-based	dựa trên bằng chứng
strategy	chiến lược
compassion	lòng thương xót
take something off something	lấy thứ gì đó ra khỏi thứ gì đó
get back on track	quay lại đúng hướng
from time to time	thỉnh thoảng
let down	thất vọng
contrary to	trái ngược với
umpire	trọng tài
earpiece	tai nghe
imaginary	tưởng tượng
batter	bột
strike	đánh đập
announce	thông báo
heckling	la ó
abuse	lạm dụng
unforgiving	không khoan nhượng
pedantic	người cầu kỳ
legalistic	theo chủ nghĩa pháp lý
pitcher	cái bình
defense	phòng thủ
baserunning	chạy cơ sở
blob	khối
delineate	phân định
discretion	quyền quyết định
maximize	tối đa hóa
dissenting	bất đồng chính kiến
criticism	sự chỉ trích
squeeze	vắt kiệt
compressor	máy nén
condenser	tụ điện
evaporator	thiết bị bay hơi
cattleman	người chăn nuôi gia súc
palatable	ngon miệng
crystal	pha lê
freezer	tủ đông
afford	đủ khả năng
munition	đạn dược
ration	khẩu phần
affordable	có thể chi trả
poultry	gia cầm
great deal of	rất nhiều
ridge	sườn núi
minuscule	nhỏ xíu
curator	người phụ trách
polyp	polyp
tentacle	tua
photosynthesize	quang hợp
dismiss	miễn nhiệm
majestic	hùng vĩ
trigger	cò súng
acidification	axit hóa
fabrication	chế tạo
benign	lành tính
analogous	tương tự
dubious	đáng ngờ
outstrip	vượt trội
successor	người kế nhiệm
guilty	tội lỗi
fret	băn khoăn
personify	nhân cách hóa
inanimate	vô tri vô giác
autonomous	tự động
futurologist	nhà tương lai học
outwit	đánh bại bằng mưu mẹo
malicious	độc hại
dystopian	phản địa đàng
enliven	làm sống động
magnified	phóng đại
convex	lồi
patio	sân hiên
inspirational	truyền cảm hứng
reinvent	tái tạo
hinder	cản trở
legacy	di sản
seep	rò rỉ
dampen	làm giảm
permeable	thấm nước
moderate	vừa phải
multifunctional	đa chức năng
decision-maker	người ra quyết định
not-for-profit	phi lợi nhuận
amphibious	lưỡng cư
sensitively	nhạy cảm
community	cộng đồng
floodplain	vùng đồng bằng ngập lũ
salinity	độ mặn
wheat	lúa mì
saline	nước muối
crescent	hình lưỡi liềm
cost-effective	tiết kiệm chi phí
shepherd	người chăn cừu
exterminate	tiêu diệt
chase	đuổi
affection	sự yêu mến
ground	đất
rancher	chủ trang trại
pinch of salt	một nhúm muối
negative	tiêu cực
enhance	nâng cao
biodiversity	sự đa dạng sinh học
harmonious	hài hòa
coexistence	sự cùng tồn tại
